state,district,year,Kharif (June-October),Rabi (October-March),Zaid (March-June),Year Avg-Rainfall
Andaman And Nicobar Islands,NICOBARS,2000,313.08,146.3333333,292.3,2763.2
Andaman And Nicobar Islands,NICOBARS,2001,356.6,138.3333333,312.35,3080.9
Andaman And Nicobar Islands,NICOBARS,2002,338.9,104.6166667,209.175,2620.2
Andaman And Nicobar Islands,NICOBARS,2003,343.3,105.65,156.2,2355.9
Andaman And Nicobar Islands,NICOBARS,2004,323.22,86.85,251.775,2460.1
Andaman And Nicobar Islands,NICOBARS,2005,398.76,149.6333333,207.275,2954.7
Andaman And Nicobar Islands,NICOBARS,2006,337.9,100.8,225,2404.7
Andaman And Nicobar Islands,NICOBARS,2010,440.06,171.2833333,195.275,3157.1
Andaman And Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,313.08,146.3333333,292.3,2763.2
Andaman And Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,356.6,138.3333333,312.35,3080.9
Andaman And Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,337.9,100.8,225,2404.7
Andaman And Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,440.06,171.2833333,195.275,3157.1
Andaman And Nicobar Islands,SOUTH ANDAMANS,2002,338.9,104.6166667,209.175,2620.2
Andaman And Nicobar Islands,SOUTH ANDAMANS,2003,343.3,105.65,156.2,2355.9
Andaman And Nicobar Islands,SOUTH ANDAMANS,2004,323.22,86.85,251.775,2460.1
Andaman And Nicobar Islands,SOUTH ANDAMANS,2005,398.76,149.6333333,207.275,2954.7
Andaman And Nicobar Islands,SOUTH ANDAMANS,2006,337.9,100.8,225,2404.7
Andaman And Nicobar Islands,SOUTH ANDAMANS,2010,440.06,171.2833333,195.275,3157.1
Andhra Pradesh,ANANTAPUR,1997,,,,
Andhra Pradesh,ANANTAPUR,1998,,,,
Andhra Pradesh,ANANTAPUR,1999,,,,
Andhra Pradesh,ANANTAPUR,2000,,,,
Andhra Pradesh,ANANTAPUR,2001,,,,
Andhra Pradesh,ANANTAPUR,2002,,,,
Andhra Pradesh,ANANTAPUR,2003,,,,
Andhra Pradesh,ANANTAPUR,2004,,,,
Andhra Pradesh,ANANTAPUR,2005,,,,
Andhra Pradesh,ANANTAPUR,2006,,,,
Andhra Pradesh,ANANTAPUR,2007,,,,
Andhra Pradesh,ANANTAPUR,2008,,,,
Andhra Pradesh,ANANTAPUR,2009,,,,
Andhra Pradesh,ANANTAPUR,2010,,,,
Andhra Pradesh,ANANTAPUR,2011,,,,
Andhra Pradesh,ANANTAPUR,2012,,,,
Andhra Pradesh,ANANTAPUR,2013,,,,
Andhra Pradesh,ANANTAPUR,2014,,,,
Andhra Pradesh,CHITTOOR,1997,,,,
Andhra Pradesh,CHITTOOR,1998,,,,
Andhra Pradesh,CHITTOOR,1999,,,,
Andhra Pradesh,CHITTOOR,2000,,,,
Andhra Pradesh,CHITTOOR,2001,,,,
Andhra Pradesh,CHITTOOR,2002,,,,
Andhra Pradesh,CHITTOOR,2003,,,,
Andhra Pradesh,CHITTOOR,2004,,,,
Andhra Pradesh,CHITTOOR,2005,,,,
Andhra Pradesh,CHITTOOR,2006,,,,
Andhra Pradesh,CHITTOOR,2007,,,,
Andhra Pradesh,CHITTOOR,2008,,,,
Andhra Pradesh,CHITTOOR,2009,,,,
Andhra Pradesh,CHITTOOR,2010,,,,
Andhra Pradesh,CHITTOOR,2011,,,,
Andhra Pradesh,CHITTOOR,2012,,,,
Andhra Pradesh,CHITTOOR,2013,,,,
Andhra Pradesh,CHITTOOR,2014,,,,
Andhra Pradesh,EAST GODAVARI,1997,,,,
Andhra Pradesh,EAST GODAVARI,1998,,,,
Andhra Pradesh,EAST GODAVARI,1999,,,,
Andhra Pradesh,EAST GODAVARI,2000,,,,
Andhra Pradesh,EAST GODAVARI,2001,,,,
Andhra Pradesh,EAST GODAVARI,2002,,,,
Andhra Pradesh,EAST GODAVARI,2003,,,,
Andhra Pradesh,EAST GODAVARI,2004,,,,
Andhra Pradesh,EAST GODAVARI,2005,,,,
Andhra Pradesh,EAST GODAVARI,2006,,,,
Andhra Pradesh,EAST GODAVARI,2007,,,,
Andhra Pradesh,EAST GODAVARI,2008,,,,
Andhra Pradesh,EAST GODAVARI,2009,,,,
Andhra Pradesh,EAST GODAVARI,2010,,,,
Andhra Pradesh,EAST GODAVARI,2011,,,,
Andhra Pradesh,EAST GODAVARI,2012,,,,
Andhra Pradesh,EAST GODAVARI,2013,,,,
Andhra Pradesh,EAST GODAVARI,2014,,,,
Andhra Pradesh,GUNTUR,1997,,,,
Andhra Pradesh,GUNTUR,1998,,,,
Andhra Pradesh,GUNTUR,1999,,,,
Andhra Pradesh,GUNTUR,2000,,,,
Andhra Pradesh,GUNTUR,2001,,,,
Andhra Pradesh,GUNTUR,2002,,,,
Andhra Pradesh,GUNTUR,2003,,,,
Andhra Pradesh,GUNTUR,2004,,,,
Andhra Pradesh,GUNTUR,2005,,,,
Andhra Pradesh,GUNTUR,2006,,,,
Andhra Pradesh,GUNTUR,2007,,,,
Andhra Pradesh,GUNTUR,2008,,,,
Andhra Pradesh,GUNTUR,2009,,,,
Andhra Pradesh,GUNTUR,2010,,,,
Andhra Pradesh,GUNTUR,2011,,,,
Andhra Pradesh,GUNTUR,2012,,,,
Andhra Pradesh,GUNTUR,2013,,,,
Andhra Pradesh,GUNTUR,2014,,,,
Andhra Pradesh,KADAPA,1997,,,,
Andhra Pradesh,KADAPA,1998,,,,
Andhra Pradesh,KADAPA,1999,,,,
Andhra Pradesh,KADAPA,2000,,,,
Andhra Pradesh,KADAPA,2001,,,,
Andhra Pradesh,KADAPA,2002,,,,
Andhra Pradesh,KADAPA,2003,,,,
Andhra Pradesh,KADAPA,2004,,,,
Andhra Pradesh,KADAPA,2005,,,,
Andhra Pradesh,KADAPA,2006,,,,
Andhra Pradesh,KADAPA,2007,,,,
Andhra Pradesh,KADAPA,2008,,,,
Andhra Pradesh,KADAPA,2009,,,,
Andhra Pradesh,KADAPA,2010,,,,
Andhra Pradesh,KADAPA,2011,,,,
Andhra Pradesh,KADAPA,2012,,,,
Andhra Pradesh,KADAPA,2013,,,,
Andhra Pradesh,KADAPA,2014,,,,
Andhra Pradesh,KRISHNA,1997,,,,
Andhra Pradesh,KRISHNA,1998,,,,
Andhra Pradesh,KRISHNA,1999,,,,
Andhra Pradesh,KRISHNA,2000,,,,
Andhra Pradesh,KRISHNA,2001,,,,
Andhra Pradesh,KRISHNA,2002,,,,
Andhra Pradesh,KRISHNA,2003,,,,
Andhra Pradesh,KRISHNA,2004,,,,
Andhra Pradesh,KRISHNA,2005,,,,
Andhra Pradesh,KRISHNA,2006,,,,
Andhra Pradesh,KRISHNA,2007,,,,
Andhra Pradesh,KRISHNA,2008,,,,
Andhra Pradesh,KRISHNA,2009,,,,
Andhra Pradesh,KRISHNA,2010,,,,
Andhra Pradesh,KRISHNA,2011,,,,
Andhra Pradesh,KRISHNA,2012,,,,
Andhra Pradesh,KRISHNA,2013,,,,
Andhra Pradesh,KRISHNA,2014,,,,
Andhra Pradesh,KURNOOL,1997,,,,
Andhra Pradesh,KURNOOL,1998,,,,
Andhra Pradesh,KURNOOL,1999,,,,
Andhra Pradesh,KURNOOL,2000,,,,
Andhra Pradesh,KURNOOL,2001,,,,
Andhra Pradesh,KURNOOL,2002,,,,
Andhra Pradesh,KURNOOL,2003,,,,
Andhra Pradesh,KURNOOL,2004,,,,
Andhra Pradesh,KURNOOL,2005,,,,
Andhra Pradesh,KURNOOL,2006,,,,
Andhra Pradesh,KURNOOL,2007,,,,
Andhra Pradesh,KURNOOL,2008,,,,
Andhra Pradesh,KURNOOL,2009,,,,
Andhra Pradesh,KURNOOL,2010,,,,
Andhra Pradesh,KURNOOL,2011,,,,
Andhra Pradesh,KURNOOL,2012,,,,
Andhra Pradesh,KURNOOL,2013,,,,
Andhra Pradesh,KURNOOL,2014,,,,
Andhra Pradesh,PRAKASAM,1997,,,,
Andhra Pradesh,PRAKASAM,1998,,,,
Andhra Pradesh,PRAKASAM,1999,,,,
Andhra Pradesh,PRAKASAM,2000,,,,
Andhra Pradesh,PRAKASAM,2001,,,,
Andhra Pradesh,PRAKASAM,2002,,,,
Andhra Pradesh,PRAKASAM,2003,,,,
Andhra Pradesh,PRAKASAM,2004,,,,
Andhra Pradesh,PRAKASAM,2005,,,,
Andhra Pradesh,PRAKASAM,2006,,,,
Andhra Pradesh,PRAKASAM,2007,,,,
Andhra Pradesh,PRAKASAM,2008,,,,
Andhra Pradesh,PRAKASAM,2009,,,,
Andhra Pradesh,PRAKASAM,2010,,,,
Andhra Pradesh,PRAKASAM,2011,,,,
Andhra Pradesh,PRAKASAM,2012,,,,
Andhra Pradesh,PRAKASAM,2013,,,,
Andhra Pradesh,PRAKASAM,2014,,,,
Andhra Pradesh,SPSR NELLORE,1997,,,,
Andhra Pradesh,SPSR NELLORE,1998,,,,
Andhra Pradesh,SPSR NELLORE,1999,,,,
Andhra Pradesh,SPSR NELLORE,2000,,,,
Andhra Pradesh,SPSR NELLORE,2001,,,,
Andhra Pradesh,SPSR NELLORE,2002,,,,
Andhra Pradesh,SPSR NELLORE,2003,,,,
Andhra Pradesh,SPSR NELLORE,2004,,,,
Andhra Pradesh,SPSR NELLORE,2005,,,,
Andhra Pradesh,SPSR NELLORE,2006,,,,
Andhra Pradesh,SPSR NELLORE,2007,,,,
Andhra Pradesh,SPSR NELLORE,2008,,,,
Andhra Pradesh,SPSR NELLORE,2009,,,,
Andhra Pradesh,SPSR NELLORE,2010,,,,
Andhra Pradesh,SPSR NELLORE,2011,,,,
Andhra Pradesh,SPSR NELLORE,2012,,,,
Andhra Pradesh,SPSR NELLORE,2013,,,,
Andhra Pradesh,SPSR NELLORE,2014,,,,
Andhra Pradesh,SRIKAKULAM,1997,,,,
Andhra Pradesh,SRIKAKULAM,1998,,,,
Andhra Pradesh,SRIKAKULAM,1999,,,,
Andhra Pradesh,SRIKAKULAM,2000,,,,
Andhra Pradesh,SRIKAKULAM,2001,,,,
Andhra Pradesh,SRIKAKULAM,2002,,,,
