State,year,Kharif,Rabi,Zaid,Avg_Annual_Rainfall
ANDAMAN & NICOBAR ISLANDS,1901,1696.3,1116.6,1077.8,1296.9
ANDAMAN & NICOBAR ISLANDS,1902,2185.9,876.5,995.4,1352.6
ANDAMAN & NICOBAR ISLANDS,1903,1874,847.3,716,1145.766667
ANDAMAN & NICOBAR ISLANDS,1904,1977.6,595.1,1002,1191.566667
ANDAMAN & NICOBAR ISLANDS,1905,1624.9,632.1,938.4,1065.133333
ANDAMAN & NICOBAR ISLANDS,1906,1465.8,512.5,1289.4,1089.233333
ANDAMAN & NICOBAR ISLANDS,1907,1327.1,1269.6,1056.4,1217.7
ANDAMAN & NICOBAR ISLANDS,1908,2303.7,681.7,1284.6,1423.333333
ANDAMAN & NICOBAR ISLANDS,1910,1701,678.3,992.8,1124.033333
ANDAMAN & NICOBAR ISLANDS,1911,1553.6,683.8,1098.8,1112.066667
ANDAMAN & NICOBAR ISLANDS,1912,1775.2,1022.7,712.4,1170.1
ANDAMAN & NICOBAR ISLANDS,1913,1596.7,574.6,724.5,965.2666667
ANDAMAN & NICOBAR ISLANDS,1914,2007.4,613.9,719.8,1113.7
ANDAMAN & NICOBAR ISLANDS,1915,1350.7,1146.2,579.1,1025.333333
ANDAMAN & NICOBAR ISLANDS,1916,1753.6,696,938,1129.2
ANDAMAN & NICOBAR ISLANDS,1917,1605.1,594.9,713.5,971.1666667
ANDAMAN & NICOBAR ISLANDS,1918,1670.4,853.2,1462.2,1328.6
ANDAMAN & NICOBAR ISLANDS,1919,1219.5,813.2,861.9,964.8666667
ANDAMAN & NICOBAR ISLANDS,1920,1814.1,875.6,800.4,1163.366667
ANDAMAN & NICOBAR ISLANDS,1921,1681,536.7,671.4,963.0333333
ANDAMAN & NICOBAR ISLANDS,1922,1751,1174.8,1134.5,1353.433333
ANDAMAN & NICOBAR ISLANDS,1923,2188,479.4,,1333.7
ANDAMAN & NICOBAR ISLANDS,1924,1296.6,,556.9,926.75
ANDAMAN & NICOBAR ISLANDS,1925,1385.7,753.6,1005,1048.1
ANDAMAN & NICOBAR ISLANDS,1926,1808.3,1275,568.9,1217.4
ANDAMAN & NICOBAR ISLANDS,1927,1124.8,687.6,1063.8,958.7333333
ANDAMAN & NICOBAR ISLANDS,1928,1612.8,676,1119.7,1136.166667
ANDAMAN & NICOBAR ISLANDS,1929,1540.4,870.6,1104.4,1171.8
ANDAMAN & NICOBAR ISLANDS,1930,1975.4,726.1,907.2,1202.9
ANDAMAN & NICOBAR ISLANDS,1931,1548.2,599.1,603.9,917.0666667
ANDAMAN & NICOBAR ISLANDS,1932,,,548,548
ANDAMAN & NICOBAR ISLANDS,1933,1973.9,581.7,976.1,1177.233333
ANDAMAN & NICOBAR ISLANDS,1934,2717.9,804.6,908.7,1477.066667
ANDAMAN & NICOBAR ISLANDS,1935,1733.3,559.8,1235,1176.033333
ANDAMAN & NICOBAR ISLANDS,1936,2109.8,618.1,,1363.95
ANDAMAN & NICOBAR ISLANDS,1937,1863.8,1284.8,1175.3,1441.3
ANDAMAN & NICOBAR ISLANDS,1938,1930.6,812.8,1189.6,1311
ANDAMAN & NICOBAR ISLANDS,1939,1591.9,616.7,1114.9,1107.833333
ANDAMAN & NICOBAR ISLANDS,1940,1970.2,657.2,715.5,1114.3
ANDAMAN & NICOBAR ISLANDS,1941,1627.4,941.1,826.7,1131.733333
ANDAMAN & NICOBAR ISLANDS,1942,,,,
ANDAMAN & NICOBAR ISLANDS,1946,1570.6,755.6,1001.3,1109.166667
ANDAMAN & NICOBAR ISLANDS,1947,,748.3,1362.8,1055.55
ANDAMAN & NICOBAR ISLANDS,1949,2433.2,484.1,1230.7,1382.666667
ANDAMAN & NICOBAR ISLANDS,1950,1578.4,484.1,729.6,930.7
ANDAMAN & NICOBAR ISLANDS,1951,1747.4,1223.3,924.3,1298.333333
ANDAMAN & NICOBAR ISLANDS,1952,1824.8,693.1,1219.7,1245.866667
ANDAMAN & NICOBAR ISLANDS,1953,1627.1,674.2,970.4,1090.566667
ANDAMAN & NICOBAR ISLANDS,1954,2419.4,542.6,1026.4,1329.466667
ANDAMAN & NICOBAR ISLANDS,1955,1648.3,959.1,1393.3,1333.566667
ANDAMAN & NICOBAR ISLANDS,1956,1604.4,819.7,999.1,1141.066667
ANDAMAN & NICOBAR ISLANDS,1957,1833.6,507.6,907.9,1083.033333
ANDAMAN & NICOBAR ISLANDS,1958,1710.4,686.8,940.9,1112.7
ANDAMAN & NICOBAR ISLANDS,1959,2271.7,715.5,811.8,1266.333333
ANDAMAN & NICOBAR ISLANDS,1960,1563,861.1,1142.5,1188.866667
ANDAMAN & NICOBAR ISLANDS,1961,1857.3,986.5,1477.8,1440.533333
ANDAMAN & NICOBAR ISLANDS,1962,1671.9,913.7,741.8,1109.133333
ANDAMAN & NICOBAR ISLANDS,1963,1953.5,691.4,771.5,1138.8
ANDAMAN & NICOBAR ISLANDS,1964,1745.9,757.2,1017.1,1173.4
ANDAMAN & NICOBAR ISLANDS,1965,1774.3,1021,777.3,1190.866667
ANDAMAN & NICOBAR ISLANDS,1966,1372.1,901.5,576.4,950
ANDAMAN & NICOBAR ISLANDS,1967,1796.4,810.3,950.5,1185.733333
ANDAMAN & NICOBAR ISLANDS,1968,1803.3,576.2,928.5,1102.666667
ANDAMAN & NICOBAR ISLANDS,1969,1539.1,727.3,775.5,1013.966667
ANDAMAN & NICOBAR ISLANDS,1970,1738.2,1143.9,896,1259.366667
ANDAMAN & NICOBAR ISLANDS,1971,1613.7,913.9,865.6,1131.066667
ANDAMAN & NICOBAR ISLANDS,1972,1844,873,1075.9,1264.3
ANDAMAN & NICOBAR ISLANDS,1973,1587.8,924.6,967.3,1159.9
ANDAMAN & NICOBAR ISLANDS,1974,1378.7,911.3,1015.8,1101.933333
ANDAMAN & NICOBAR ISLANDS,1975,1589.1,1101.4,1101.5,1264
ANDAMAN & NICOBAR ISLANDS,1976,1698.2,864.3,1154.9,1239.133333
ANDAMAN & NICOBAR ISLANDS,1977,1492.9,607,627.6,909.1666667
ANDAMAN & NICOBAR ISLANDS,1978,1775.9,510.5,888.1,1058.166667
ANDAMAN & NICOBAR ISLANDS,1979,1242.5,391.9,497.8,710.7333333
ANDAMAN & NICOBAR ISLANDS,1980,1946.3,902.6,1380.7,1409.866667
ANDAMAN & NICOBAR ISLANDS,1981,1908,800.1,967.3,1225.133333
